full,short
Balaenoptera_physalus.Physeter_macrocephalus,clade_1
Balaenoptera_physalus.Physeter_macrocephalus.Hippopotamus_amphibius,clade_2
Balaenoptera_physalus.Physeter_macrocephalus.Hippopotamus_amphibius.Bos_tarus,clade_3
Canis_familiaris.Ursus_americanus,clade_4
Canis_familiaris.Ursus_americanus.Felis_catus,clade_5
Balaenoptera_physalus.Physeter_macrocephalus.Hippopotamus_amphibius.Bos_tarus.Canis_familiaris.Ursus_americanus.Felis_catus,clade_6
Equus_caballus.Rhinoceros_unicornis,clade_7
Balaenoptera_physalus.Physeter_macrocephalus.Hippopotamus_amphibius.Bos_tarus.Canis_familiaris.Ursus_americanus.Felis_catus.Equus_caballus.Rhinoceros_unicornis,clade_8
Homo_sapiens.Pan_troglodytes,clade_9
Gorilla_gorilla.Homo_sapiens.Pan_troglodytes,clade_10
Gorilla_gorilla.Homo_sapiens.Pan_troglodytes.Pongo_pygmaeus,clade_11
Gorilla_gorilla.Homo_sapiens.Pan_troglodytes.Pongo_pygmaeus.Macaca_mulatta,clade_12
Callithrix_jacchus.Gorilla_gorilla.Homo_sapiens.Pan_troglodytes.Pongo_pygmaeus.Macaca_mulatta,clade_13
Microcebus_berthae.Microcebus_myoxinus,clade_14
Microcebus_berthae.Microcebus_myoxinus.Microcebus_rufus_1,clade_15
Microcebus_rufus_2.Microcebus_sambiranensis,clade_16
Microcebus_berthae.Microcebus_myoxinus.Microcebus_rufus_1.Microcebus_rufus_2.Microcebus_sambiranensis,clade_17
Microcebus_berthae.Microcebus_myoxinus.Microcebus_rufus_1.Microcebus_rufus_2.Microcebus_sambiranensis.Microcebus_tavaratra,clade_18
Microcebus_berthae.Microcebus_myoxinus.Microcebus_rufus_1.Microcebus_rufus_2.Microcebus_sambiranensis.Microcebus_tavaratra.Microcebus_ravelobensis,clade_19
Microcebus_griseorufus.Microcebus_murinus,clade_20
