"quantity","target_ESS","rae"
"BCI_L",100,0.0323026897829786
"BCI_U",100,0.0309663610076916
"HPD_L",100,0.0407680586218936
"HPD_U",100,0.0276858352018715
"sample_mean",100,0.0194457429220035
"sample_median",100,0.0204784576114397
"BCI_L",200,0.0242724897472454
"BCI_U",200,0.0237656902520756
"HPD_L",200,0.0301146030255941
"HPD_U",200,0.0205381501895372
"sample_mean",200,0.0146358845294386
"sample_median",200,0.0151200828723995
"BCI_L",625,0.0130893216681382
"BCI_U",625,0.0125152500574188
"HPD_L",625,0.021862426923872
"HPD_U",625,0.0125567299390269
"sample_mean",625,0.00835743278052653
"sample_median",625,0.00851847180048345
"BCI_L",1000,0.0109546239151703
"BCI_U",1000,0.0104891361459749
"HPD_L",1000,0.0198389581510444
"HPD_U",1000,0.0112487010074681
"sample_mean",1000,0.00664155242566802
"sample_median",1000,0.00697980101809875
