"quantity","M","rmse","bias","bias_sq","var","rmse_b"
"BCI_L",100,0.528483858521203,0.197129837858103,0.0388601729739621,0.240916849442382,0.528939526237494
"BCI_L",1000,0.16938910448803,0.02706295366829,0.000732403461252013,0.0280162978537122,0.169554419921641
"BCI_L",200,0.403895030989478,0.121145548959504,0.0146762440326996,0.14875245693917,0.404263158068936
"BCI_L",625,0.216057573397549,0.0285570287803907,0.000815503892764062,0.0459572857010755,0.216270177310325
"BCI_U",100,1.31207375255659,-0.371257489403096,0.13783212343789,1.58687916704412,1.31328263922204
"BCI_U",1000,0.448317862560982,0.000230569097475097,5.31621087104809e-08,0.201391636001141,0.448766853904396
"BCI_U",200,0.978451534427952,-0.227429946141065,0.0517243804017277,0.907457940704093,0.979378538209727
"BCI_U",625,0.558051806488057,-0.0850881370199232,0.00723999106152123,0.304791410484031,0.558597709935828
"HPD_L",100,0.783201384693851,0.320250324647251,0.10256027043667,0.511867874298292,0.783854670672416
"HPD_L",1000,0.342207584737277,0.109718706081311,0.0120381944641571,0.105278393374312,0.342515091402509
"HPD_L",200,0.645526883098258,0.27108813462215,0.0734887767329167,0.343903988045727,0.646059412731247
"HPD_L",625,0.403885681352552,0.140601497112075,0.0197687809901569,0.143642146905269,0.404241175408228
"HPD_U",100,1.16447360290505,-0.134592386672459,0.0181151105501887,1.34056479089427,1.16562425397057
"HPD_U",1000,0.415524280008487,-0.0289067328458756,0.000835599203822826,0.17216916640556,0.415938415645132
"HPD_U",200,0.896294164455415,-0.0577800252239484,0.00333853131488012,0.80160791374945,0.897188076751096
"HPD_U",625,0.593397760796293,-0.159232229773547,0.0253549029986557,0.327420841201803,0.593949277464379
"sample_mean",100,0.349793076284698,-0.0100108892911113,0.000100217904398886,0.122499978268851,0.350143108133304
"sample_mean",1000,0.106595329518497,0.00234420703356975,5.49530661623786e-06,0.0113798286257922,0.106702033403344
"sample_mean",200,0.261702648275058,0.00231712039158261,5.36904690908793e-06,0.0686201473619935,0.261964723596332
"sample_mean",625,0.141383464243314,0.000171427417464898,2.93873594586843e-08,0.0200293132004819,0.141525059928768
"sample_median",100,0.413167575075436,-0.0098659668303327,9.7337301497225e-05,0.170952011815851,0.413581127612646
"sample_median",1000,0.13388351473103,0.00117187179513145,1.37328350422461e-06,0.0179593409150599,0.134017589138755
"sample_median",200,0.304007745221895,0.0135847742771524,0.000184546092161182,0.0924210050728854,0.304311602087476
"sample_median",625,0.169782377016885,0.0133767265262517,0.000178936812558125,0.0287045277885225,0.169951359515247
