"target","m","v","sigma","mean","median","var","bci_lwr","bci_upr","hpd_lwr","hpd_upr","percentile","p","eff","rho","v_p.asymp_var","v_p.iid_var"
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_lwr_p",0.0249999999999997,0.005,0.990054270671994,1.79177440081362,0.0243749999999997
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_lwr_p",0.025,0.005,0.990287593416254,1.83442168762917,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_lwr_p",0.025,0.005,0.992366388170045,2.32756534062501,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"bci_upr_p",0.975,0.005,0.990054270671994,1.79177440081365,0.024375
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"bci_upr_p",0.975,0.005,0.990287593416254,1.83442168762918,0.024375
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"bci_upr_p",0.975,0.005,0.992366388170045,2.327565340625,0.024375
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_lwr_p",0.0229971901202388,0.005,0.990054270671994,1.61798746435799,0.0224683193668124
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_lwr_p",0.00923741180576316,0.005,0.990287593416254,0.543074045501507,0.00915208202889391
"asymmetric",0,1,1,1.64872127070013,1,4.6707742704716,0.140863494093218,7.09907138423133,0.0251105627185492,5.18601569974373,"hpd_lwr_p",0.000114590993965996,0.005,0.992366388170045,0.00399967864779069,0.000114577862870098
"symmetric",4.01,0.00119025,0.0345,55.1796996125329,55.1468705634638,3.62622993850138,51.5411873565902,59.00479769515,51.4781348581096,58.937308229785,"hpd_upr_p",0.972997190120239,0.005,0.990054270671994,1.96850112598563,0.0262736581383585
"moderate",0.8314,0.0942244416,0.30696,2.40731548690547,2.2965316350021,0.572599302663734,1.25830987982006,4.19138213499491,1.11428618150002,3.92001300062551,"hpd_upr_p",0.959237411805763,0.005,0.990287593416254,3.32341316991772,0.039100999597944
